fecha,num personas
2004-01,9979352
2004-02,11008703
2004-03,12434592
2004-04,13288475
2004-05,14325765
2004-06,15283863
2004-07,17260463
2004-08,18382505
2004-09,16210223
2004-10,15244029
2004-11,11569002
2004-12,11159230
2005-01,10939703
2005-02,11313030
2005-03,13940519
2005-04,13994505
2005-05,15918699
2005-06,16664908
2005-07,19262618
2005-08,19938456
2005-09,17833343
2005-10,16535216
2005-11,12799249
2005-12,12137495
2006-01,11783748
2006-02,11939614
2006-03,14384059
2006-04,16127396
2006-05,17008751
2006-06,18105530
2006-07,20072210
2006-08,20723593
2006-09,18921326
2006-10,17549658
2006-11,13647051
2006-12,13290242
2007-01,12566846
2007-02,13011557
2007-03,16077006
2007-04,17056689
2007-05,18137381
2007-06,19655690
2007-07,22337240
2007-08,22831494
2007-09,20702603
2007-10,18954357
2007-11,14976542
2007-12,14191355
2008-01,13364562
2008-02,14257691
2008-03,17123264
2008-04,16639965
2008-05,18503141
2008-06,19317317
2008-07,21507359
2008-08,22276163
2008-09,18864461
2008-10,16905833
2008-11,12841884
2008-12,12260388
2009-01,11111959
2009-02,11679913
2009-03,13928310
2009-04,15784125
2009-05,16323582
2009-06,17644871
2009-07,20484108
2009-08,21071052
2009-09,17898792
2009-10,16458587
2009-11,12736930
2009-12,12508873
2010-01,11437309
2010-02,11812115
2010-03,14643920
2010-04,14440456
2010-05,16805184
2010-06,18212495
2010-07,21214901
2010-08,21844771
2010-09,18897626
2010-10,17867941
2010-11,13392622
2010-12,12223266
2011-01,12119534
2011-02,12330473
2011-03,15296743
2011-04,17376770
2011-05,17884668
2011-06,19455278
2011-07,22638682
2011-08,22853447
2011-09,20317857
2011-10,18273582
2011-11,13115750
2011-12,12723587
2012-01,11769395
2012-02,11649359
2012-03,14220414
2012-04,16111235
2012-05,17208947
2012-06,19197541
2012-07,22062592
2012-08,22151572
2012-09,19615848
2012-10,16998824
2012-11,11838942
2012-12,11406030
2013-01,10694529
2013-02,10455726
2013-03,13410896
2013-04,14868491
2013-05,16887839
2013-06,18560229
2013-07,21059275
2013-08,21568118
2013-09,19045741
2013-10,16891030
2013-11,12220664
2013-12,11742591
2014-01,10959721
2014-02,10779086
2014-03,13446155
2014-04,16246439
2014-05,17540838
2014-06,19447170
2014-07,21907543
2014-08,22915141
2014-09,20028625
2014-10,17732680
2014-11,12610177
2014-12,12250024
2015-01,11537330
2015-02,11448684
2015-03,14374301
2015-04,16808224
2015-05,18718372
2015-06,20162144
2015-07,23105156
2015-08,24000644
2015-09,21025593
2015-10,19126975
2015-11,13763621
2015-12,13350002
2016-01,12959573
2016-02,13312743
2016-03,16469834
2016-04,18001498
2016-05,20830981
2016-06,22325255
2016-07,25673872
2016-08,25820558
2016-09,23189171
2016-10,21448190
2016-11,15167467
2016-12,15030381
2017-01,14251657
2017-02,13993300
2017-03,17210828
2017-04,21025539
2017-05,22378214
2017-06,24498603
2017-07,27569820
2017-08,27426125
2017-09,25082153
2017-10,22842067
2017-11,16578519
2017-12,16366219
2018-01,15496640
2018-02,15283567
2018-03,19103382
2018-04,21632843
2018-05,23807119
2018-06,25744475
2018-07,28447609
2018-08,28346796
2018-09,26240750
2018-10,24326523
2018-11,17718841
2018-12,17604861
2019-01,16583200
2019-02,16258832
2019-03,19966010
2019-04,23206276
2019-05,24626673
2019-06,27275553
2019-07,29409649
2019-08,29479657
2019-09,27136898
2019-10,24698304
2019-11,18349342
2019-12,18247407
2020-01,16982161
2020-02,16904590
2020-03,8128859
2020-04,141014
2020-05,267671
2020-06,1053780
2020-07,6987828
2020-08,8951753
2020-09,5457083
2020-10,4458349
2020-11,2913073
2020-12,3818162
2021-01,2814424
2021-02,2229568
2021-03,3200222
2021-04,3671802
2021-05,5889921
2021-06,9266794
2021-07,15138997
2021-08,18011330
2021-09,16316040
2021-10,17256634
2021-11,13442676
2021-12,12721263
2022-01,10403137
2022-02,11908046
2022-03,15587273
2022-04,20458260
2022-05,22262317
2022-06,24320204
2022-07,27067913
2022-08,27301674
2022-09,24881291
2022-10,23981550
2022-11,17613362
2022-12,17897162
2023-01,16930100
2023-02,16622180
2023-03,20093589
2023-04,23820269
2023-05,25476066
2023-06,26504920
2023-07,29762051
2023-08,29890357
2023-09,27548232
2023-10,26616109
2023-11,19743455
2023-12,20188071
2024-01,18667212
2024-02,19226616
2024-03,22857159
2024-04,25669281
2024-05,28287870
2024-06,29443093
2024-07,31900662
2024-08,32116068
2024-09,29647989
2024-10,28251591
2024-11,21560768
2024-12,21703760
2025-01,19801425
2025-02,19993427